LATITUDE,LONGITUDE,ACQ_DATE,NAMEFIN
64.644554,24.42445,2012-01-01,Pohjois-Pohjanmaa
62.77853355,23.84876655,2012-02-01,Etelä-Pohjanmaa
62.61678703797468,23.703109683544305,2012-03-01,Etelä-Pohjanmaa
61.61626518055555,23.792501666666663,2012-04-01,Pirkanmaa
61.57339326086957,24.267962326086955,2012-05-01,Pirkanmaa
61.90857420289854,24.162292304347822,2012-06-01,Pirkanmaa
62.91771051694915,24.33891158474576,2012-07-01,Etelä-Pohjanmaa
63.58342032679739,24.72675719607843,2012-08-01,Keski-Pohjanmaa
63.27115444444444,24.083112240740743,2012-09-01,Keski-Pohjanmaa
62.671760375,24.595653402777774,2012-10-01,Keski-Suomi
64.0571925116279,24.416156558139534,2012-11-01,Pohjois-Pohjanmaa
64.64531333333333,24.428544,2012-12-01,Pohjois-Pohjanmaa
64.6462365,24.426125833333334,2013-01-01,Pohjois-Pohjanmaa
63.13123027272727,24.13331781818182,2013-02-01,Etelä-Pohjanmaa
61.94505383333333,24.71686916666667,2013-03-01,Keski-Suomi
62.68752101538462,24.21113915384615,2013-04-01,Etelä-Pohjanmaa
62.87144882562278,25.028010024911037,2013-05-01,Keski-Suomi
62.63450316304348,24.86969410869565,2013-06-01,Keski-Suomi
62.50234751798561,24.23769479856115,2013-07-01,Etelä-Pohjanmaa
63.38076835658914,24.31110446511628,2013-08-01,Keski-Pohjanmaa
62.82169679375001,24.14615125625,2013-09-01,Etelä-Pohjanmaa
63.299794662500005,23.7407932875,2013-10-01,Etelä-Pohjanmaa
63.35969255696202,24.1901267721519,2013-11-01,Keski-Pohjanmaa
63.85065873529411,24.043024529411767,2013-12-01,Keski-Pohjanmaa
63.97465084615385,24.09720130769231,2014-01-01,Keski-Pohjanmaa
63.55501925,23.89291825,2014-02-01,Keski-Pohjanmaa
63.53050920967742,24.79175270967742,2014-03-01,Keski-Pohjanmaa
62.45764996610169,24.461679949152543,2014-04-01,Keski-Suomi
63.13835913492064,24.182901984126985,2014-05-01,Etelä-Pohjanmaa
62.6783361,23.813933814285715,2014-06-01,Etelä-Pohjanmaa
63.0600733125,24.27623203977273,2014-07-01,Etelä-Pohjanmaa
63.327274968944096,24.19940873291925,2014-08-01,Keski-Pohjanmaa
62.96045452258065,23.985753941935485,2014-09-01,Etelä-Pohjanmaa
63.49650122222223,24.065833916666666,2014-10-01,Keski-Pohjanmaa
63.26260023076923,23.80146253846154,2014-11-01,Etelä-Pohjanmaa
62.51302795,24.2424051,2014-12-01,Etelä-Pohjanmaa
63.65855666666666,24.1172039,2015-02-01,Keski-Pohjanmaa
64.12804856603773,24.66988760377358,2015-03-01,Pohjois-Pohjanmaa
62.29017713333334,24.217756641666664,2015-04-01,Keski-Suomi
62.53532069158879,24.581249644859817,2015-05-01,Keski-Suomi
61.92626258878504,24.41416871028037,2015-06-01,Pirkanmaa
62.64737906896552,24.264778637931038,2015-07-01,Etelä-Pohjanmaa
63.2732829527897,24.55720700858369,2015-08-01,Keski-Pohjanmaa
62.88307190756303,23.898917705882354,2015-09-01,Etelä-Pohjanmaa
62.95415745192307,23.93912294230769,2015-10-01,Etelä-Pohjanmaa
62.96954846153847,23.566323500000003,2015-11-01,Etelä-Pohjanmaa
63.48254673584906,24.329937415094346,2015-12-01,Keski-Pohjanmaa
63.6675589375,24.04393275,2016-01-01,Keski-Pohjanmaa
62.26844381818182,23.554799090909093,2016-02-01,Pirkanmaa
64.39243511111111,24.474973,2016-03-01,Pohjois-Pohjanmaa
63.03223786086957,24.432631973913043,2016-04-01,Keski-Suomi
61.80600848878924,24.73137006278027,2016-05-01,Pirkanmaa
62.29649287735849,24.44159285849057,2016-06-01,Keski-Suomi
62.441368220183485,24.00941733944954,2016-07-01,Etelä-Pohjanmaa
62.45115712380953,24.02377026666667,2016-08-01,Etelä-Pohjanmaa
62.67334302721088,24.30227727210885,2016-09-01,Etelä-Pohjanmaa
63.39335655434783,24.239087086956523,2016-10-01,Keski-Pohjanmaa
62.32329923076923,23.860315423076923,2016-11-01,Pirkanmaa
62.88454161764706,24.139699617647057,2016-12-01,Etelä-Pohjanmaa
63.49938147727273,24.00793786363636,2017-01-01,Keski-Pohjanmaa
62.30136331578947,23.55695589473684,2017-02-01,Pirkanmaa
63.10813134285714,24.642878485714288,2017-03-01,Keski-Suomi
62.14830743661972,23.86379550704225,2017-04-01,Pirkanmaa
61.91998814545455,24.416593109090908,2017-05-01,Pirkanmaa
62.969351547826086,24.84146212173913,2017-06-01,Keski-Suomi
62.53118227642277,24.03841157723577,2017-07-01,Etelä-Pohjanmaa
63.05731817037037,23.93647188888889,2017-08-01,Etelä-Pohjanmaa
63.59706663218391,24.244532896551725,2017-09-01,Keski-Pohjanmaa
62.06193011111111,24.320555180555555,2017-10-01,Pirkanmaa
62.39127592592593,24.49899040740741,2017-11-01,Keski-Suomi
62.35241173684211,23.47190152631579,2017-12-01,Pirkanmaa
62.85148735294118,23.54727205882353,2018-01-01,Etelä-Pohjanmaa
63.1955245,24.78060675,2018-02-01,Keski-Suomi
60.287109333333326,22.290989,2018-03-01,Varsinais-Suomi
