LATITUDE,LONGITUDE,ACQ_DATE
59.878773,23.213467,2012-04-29
64.654381,24.432047,2012-04-30
64.65126,24.428875,2012-04-30
64.64502,24.422522,2012-04-30
64.643578,24.43026,2012-04-30
60.816914,26.204655,2012-04-30
62.414043,22.727629,2012-04-30
60.31496,25.524221,2012-04-30
59.878754,23.211426,2012-04-30
64.648293,24.431805,2012-05-01
64.645119,24.429201,2012-05-01
60.318474,25.525122,2012-05-01
60.315277,25.52268,2012-05-01
59.876041,23.217846,2012-05-01
60.818977,26.2551,2012-05-01
60.593735,23.322191,2012-05-01
60.594734,23.326115,2012-05-01
62.219101,26.38061,2012-05-01
60.314102,25.527117,2012-05-01
61.027584,28.176903,2012-05-02
60.286404,22.288754,2012-05-02
59.875576,23.218109,2012-05-02
59.877312,23.214355,2012-05-02
60.653835,23.617674,2012-05-02
60.817337,22.907536,2012-05-02
60.286411,22.285418,2012-05-03
59.879585,23.215723,2012-05-03
59.875767,23.21435,2012-05-03
63.941006,24.791496,2012-05-03
60.764294,26.593517,2012-05-03
64.645088,24.427645,2012-05-03
64.646378,24.42329,2012-05-03
64.646286,24.423222,2012-05-04
60.642101,26.458437,2012-05-04
60.640469,26.452003,2012-05-04
61.173874,26.942526,2012-05-04
60.287964,22.287138,2012-05-05
59.877613,23.220301,2012-05-05
59.875767,23.217627,2012-05-05
60.286255,22.288136,2012-05-06
60.727158,26.501383,2012-05-06
60.690971,26.3978,2012-05-06
60.725956,26.500753,2012-05-06
60.691311,26.403185,2012-05-06
60.741848,26.4529,2012-05-06
60.739944,26.447495,2012-05-06
64.645332,24.423225,2012-05-06
64.644531,24.429459,2012-05-06
60.833279,26.685606,2012-05-06
60.825409,26.183681,2012-05-06
64.649094,24.420097,2012-05-07
64.648026,24.428591,2012-05-07
64.644684,24.426283,2012-05-07
64.64753,24.422518,2012-05-07
64.646446,24.431004,2012-05-07
64.643112,24.428707,2012-05-07
60.288227,22.291077,2012-05-07
60.284908,22.28928,2012-05-07
60.286324,22.290804,2012-05-07
61.167648,23.221163,2012-05-07
60.583694,23.501438,2012-05-07
62.779636,22.614735,2012-05-07
64.649231,24.423067,2012-05-08
64.645477,24.42116,2012-05-08
60.288025,22.287094,2012-05-08
59.878902,23.215237,2012-05-08
60.285225,22.29398,2012-05-08
59.878494,23.213978,2012-05-08
60.658813,23.417887,2012-05-08
60.636978,21.771421,2012-05-08
64.646706,24.429869,2012-05-09
60.287086,22.293648,2012-05-09
61.040253,28.576509,2012-05-09
60.711857,26.085953,2012-05-09
60.609226,23.340158,2012-05-09
59.878799,23.215214,2012-05-09
59.873718,23.214624,2012-05-09
64.645638,24.42531,2012-05-12
64.651138,24.422461,2012-05-13
64.64653,24.430212,2012-05-13
64.64576,24.425917,2012-05-13
64.646431,24.427811,2012-05-14
60.288933,22.291929,2012-05-14
60.284744,22.290718,2012-05-14
59.877113,23.212372,2012-05-14
59.876572,23.219347,2012-05-14
60.286644,22.288279,2012-05-14
59.879864,23.211918,2012-05-14
59.877331,23.220297,2012-05-14
59.873337,23.215422,2012-05-14
59.879803,23.216707,2012-05-14
59.87582,23.211796,2012-05-14
59.873329,23.220184,2012-05-14
60.682995,26.382784,2012-05-14
60.703735,26.593586,2012-05-14
60.703587,26.587156,2012-05-14
60.708996,26.593132,2012-05-14
