ACQ_DATE,LATITUDE,LONGITUDE,FIRE_COUNT
2012-01-01,64.644554,24.42445,1
2012-02-01,62.77853355,23.84876655,20
2012-03-01,62.61678703797468,23.703109683544305,79
2012-04-01,61.61626518055555,23.792501666666666,72
2012-05-01,61.57339326086957,24.267962326086955,184
2012-06-01,61.90857420289854,24.162292304347826,69
2012-07-01,62.91771051694915,24.338911584745762,118
2012-08-01,63.58342032679739,24.72675719607843,153
2012-09-01,63.27115444444444,24.083112240740743,108
2012-10-01,62.671760375,24.595653402777778,72
2012-11-01,64.0571925116279,24.416156558139534,43
2012-12-01,64.64531333333333,24.428544,6
2013-01-01,64.6462365,24.426125833333334,6
2013-02-01,63.13123027272727,24.13331781818182,11
2013-03-01,61.94505383333333,24.71686916666667,12
2013-04-01,62.68752101538462,24.21113915384615,65
2013-05-01,62.87144882562278,25.028010024911033,281
2013-06-01,62.634503163043476,24.86969410869565,92
2013-07-01,62.50234751798561,24.23769479856115,139
2013-08-01,63.380768356589144,24.31110446511628,129
2013-09-01,62.82169679375001,24.14615125625,160
2013-10-01,63.299794662500005,23.7407932875,80
2013-11-01,63.359692556962024,24.1901267721519,79
2013-12-01,63.85065873529411,24.043024529411767,34
2014-01-01,63.97465084615385,24.09720130769231,13
2014-02-01,63.55501925,23.89291825,4
2014-03-01,63.53050920967742,24.79175270967742,62
2014-04-01,62.45764996610169,24.461679949152543,177
2014-05-01,63.13835913492064,24.182901984126985,126
2014-06-01,62.6783361,23.813933814285715,70
2014-07-01,63.0600733125,24.27623203977273,176
2014-08-01,63.327274968944096,24.199408732919252,161
2014-09-01,62.96045452258065,23.985753941935485,155
2014-10-01,63.49650122222223,24.065833916666666,72
2014-11-01,63.26260023076923,23.80146253846154,26
2014-12-01,62.51302795,24.2424051,20
2015-01-01,64.57934639999999,23.5075592,5
2015-02-01,63.65855666666666,24.1172039,30
2015-03-01,64.12804856603773,24.66988760377358,106
2015-04-01,62.29017713333334,24.217756641666664,120
2015-05-01,62.53532069158879,24.581249644859817,107
2015-06-01,61.92626258878504,24.414168710280375,107
2015-07-01,62.64737906896552,24.264778637931034,116
2015-08-01,63.2732829527897,24.557207008583692,233
2015-09-01,62.88307190756303,23.898917705882354,119
2015-10-01,62.95415745192307,23.939122942307694,104
2015-11-01,62.969548461538466,23.566323500000003,26
2015-12-01,63.48254673584906,24.329937415094342,53
2016-01-01,63.667558937500004,24.04393275,16
2016-02-01,62.26844381818182,23.554799090909093,11
2016-03-01,64.39243511111111,24.474973,18
2016-04-01,63.032237860869564,24.432631973913043,115
2016-05-01,61.80600848878924,24.73137006278027,223
2016-06-01,62.29649287735849,24.441592858490566,106
2016-07-01,62.441368220183485,24.00941733944954,109
2016-08-01,62.45115712380953,24.02377026666667,105
2016-09-01,62.67334302721088,24.302277272108846,147
2016-10-01,63.393356554347825,24.239087086956523,92
2016-11-01,62.32329923076923,23.860315423076923,26
2016-12-01,62.88454161764706,24.139699617647057,34
2017-01-01,63.49938147727273,24.00793786363636,44
2017-02-01,62.30136331578947,23.55695589473684,19
2017-03-01,63.10813134285714,24.642878485714288,35
2017-04-01,62.14830743661972,23.863795507042255,71
2017-05-01,61.919988145454546,24.416593109090908,220
2017-06-01,62.969351547826086,24.84146212173913,115
2017-07-01,62.53118227642277,24.03841157723577,123
2017-08-01,63.05731817037037,23.93647188888889,135
2017-09-01,63.59706663218391,24.244532896551725,87
2017-10-01,62.06193011111111,24.320555180555555,72
2017-11-01,62.39127592592593,24.49899040740741,27
2017-12-01,62.35241173684211,23.47190152631579,19
2018-01-01,62.85148735294118,23.54727205882353,17
2018-02-01,63.1955245,24.78060675,12
2018-03-01,60.287109333333326,22.290989,3
2018-04-01,63.15212012121212,23.97389028787879,66
2018-05-01,62.05826992592593,24.803505043572986,459
2018-06-01,62.49274053333334,24.084271914285715,105
2018-07-01,63.344143656652356,24.402264317596565,233
2018-08-01,62.84052327093596,24.01240819211823,203
2018-09-01,63.331715135135134,24.648343864864867,148
2018-10-01,63.28847450769231,24.068190784615386,130
2018-11-01,63.91247894117647,24.185199729411767,85
2018-12-01,62.70782742307692,23.808605115384616,26
2019-01-01,64.41726711111112,24.67815427777778,18
2019-02-01,61.48050546153846,23.483790692307693,13
2019-03-01,63.025749148148144,23.92908025925926,27
2019-04-01,62.766339881656805,24.24073027218935,169
2019-05-01,62.175394240740744,23.959717287037037,108
2019-06-01,62.317812730158735,25.241759825396826,126
2019-07-01,62.388117573529414,24.17750551470588,136
2019-08-01,62.52467263125,24.338976743750003,160
2019-09-01,63.049322779816514,24.04137037614679,109
2019-10-01,62.826005105263164,23.726494947368423,38
2019-11-01,60.830459625,22.55724975,8
2019-12-01,62.43727394117647,23.830767470588235,17
2020-01-01,63.49066397368421,24.21899872368421,76
2020-02-01,62.71547549230769,23.882962799999998,65
2020-03-01,64.43781272151898,24.414313607594938,79
2020-04-01,62.770086400000004,24.431164619047617,105
2020-05-01,62.347116966101694,24.434543186440678,118
2020-06-01,62.50007912290503,25.289082603351957,179
2020-07-01,61.60134017475728,24.65242285436893,103
2020-08-01,62.485403186206895,24.369491827586206,145
2020-09-01,62.974331013888886,24.442443694444442,144
2020-10-01,63.442463000000004,24.1195111641791,67
2020-11-01,61.9699976372549,24.87211306862745,102
2020-12-01,63.03345247058824,24.40916511764706,17
2021-01-01,63.19242555555555,23.712915555555558,9
2021-02-01,64.100767375,24.159395625000002,8
2021-03-01,63.75306520930233,24.75376176744186,43
2021-04-01,63.23970709150327,24.343368176470587,153
